,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
0,E14000582,0.756498714,Boston and Skegness,2048,1428,2017 General Election,68402,16572,Con Hold,42879
1,E14001011,0.7418521816562779,Walsall North,1389,776,2017 General Election,67308,2601,Con Gain,38118
2,E14000642,0.730439705,Clacton,2053,1163,2017 General Election,68566,15828,Con Gain,44145
3,E14000933,0.729955717,South Basildon and East Thurrock,2642,1249,2017 General Election,73537,11490,Con Hold,47120
4,E14000771,0.72831563,Kingston upon Hull East,1785,778,2017 General Election,65959,10396,Lab Hold,36638
5,E14000622,0.7269939242,Castle Point,2429,1220,2017 General Election,69470,18872,Con Hold,44710
6,E14000973,0.721235856,Stoke-on-Trent North,1937,827,2017 General Election,71558,2359,Lab Hold,41786
7,E14000669,0.716506861,Doncaster North,2020,1084,2017 General Election,72377,14024,Lab Hold,42312
8,E14000717,0.7150494733,Great Yarmouth,2498,1249,2017 General Election,71408,7973,Con Hold,44146
9,E14000716,0.7144662955490191,Great Grimsby,1754,936,2017 General Election,61743,2565,Lab Hold,35521
10,E14000671,0.7143022555694503,Dudley North,1597,649,2017 General Election,62043,22,Lab Hold,38910
11,E14000974,0.711074062,Stoke-on-Trent South,1876,846,2017 General Election,66057,663,Con Gain,41690
12,E14000939,0.710714432,South Holland and The Deepings,3060,1249,2017 General Election,76374,24897,Con Hold,50315
13,E14000542,0.709849935,Barnsley East,1831,988,2017 General Election,69214,13283,Lab Hold,40776
14,E14000810,0.7086291353,Mansfield,2683,1198,2017 General Election,77811,1057,Con Gain,50157
15,E14000535,0.704728888,Ashfield,2555,1145,2017 General Election,78076,441,Lab Hold,49993
16,E14000672,0.7041731848716297,Dudley South,1895,738,2017 General Election,61323,7730,Con Hold,38244
17,E14000577,0.703942464,Bolsover,2625,1000,2017 General Election,73429,5288,Lab Hold,46519
18,E14000657,0.703479569,Dagenham and Rainham,2693,852,2017 General Election,70616,4652,Lab Hold,45843
19,E14001028,0.702792954,Wentworth and Dearne,2098,1121,2017 General Election,74890,14803,Lab Hold,43947
20,E14000995,0.702553097,Thurrock,3570,1221,2017 General Election,78154,345,Con Hold,50325
21,E14000733,0.6956832972,Hartlepool,2047,981,2017 General Election,70718,7650,Lab Hold,41835
22,E14000643,0.69503821,Cleethorpes,2458,1157,2017 General Election,72711,10400,Con Hold,47844
23,E14000751,0.6949469368065605,Hornchurch and Upminster,4291,1179,2017 General Election,80802,17723,Con Hold,56045
24,E14000842,0.693543227,North East Cambridgeshire,3895,1261,2017 General Election,84414,21270,Con Hold,53284
25,E14000900,0.692856491611962,Romford,3973,998,2017 General Election,73493,13778,Con Hold,49944
26,E14000836,0.6925528289025221,"Normanton, Pontefract and Castleford",2736,1255,2017 General Election,81641,14499,Lab Hold,49191
27,E14000798,0.6889943,Louth and Horncastle,3230,1512,2017 General Election,79007,19641,Con Hold,52771
28,E14000618,0.6886035313,Cannock Chase,2413,1063,2017 General Election,74540,8391,Con Hold,47872
29,E14000914,0.686755472,Scunthorpe,2080,852,2017 General Election,61578,3431,Lab Hold,40202
30,E14001030,0.686708936,West Bromwich West,1542,615,2017 General Election,65967,4460,Lab Hold,36094
31,E14000667,0.684864372,Don Valley,2533,1001,2017 General Election,73990,5169,Lab Hold,45988
32,E14000904,0.683459631396763,Rotherham,1782,786,2017 General Election,63237,11387,Lab Hold,37923
33,E14000546,0.68322755,Bassetlaw,3014,1213,2017 General Election,78540,4852,Lab Hold,52250
