,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
0,E14000582,0.756498714,Matt Warman MP,Boston and Skegness,2300,1492,2017 General Election,68402,16572,Con Hold,42879,Matt Warman,88.0,NoVote,Matt Warman,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
1,E14001011,0.7418521816562779,Eddie Hughes MP,Walsall North,1636,826,2017 General Election,67308,2601,Con Gain,38118,Eddie Hughes,89.0,NoVote,Eddie Hughes,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
2,E14000642,0.730439705,Giles Watling MP,Clacton,2315,1215,2017 General Election,68566,15828,Con Gain,44145,Giles Watling,90.0,NoVote,Giles Watling,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
3,E14000933,0.729955717,Stephen Metcalfe MP,South Basildon and East Thurrock,2983,1321,2017 General Election,73537,11490,Con Hold,47120,Stephen Metcalfe,91.0,NoVote,Stephen Metcalfe,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
4,E14000771,0.72831563,Karl Turner MP,Kingston upon Hull East,1997,819,2017 General Election,65959,10396,Lab Hold,36638,Karl Turner,88.0,AyeVote,Karl Turner,AyeVote,AyeVote,,,AyeVote,,AyeVote,AyeVote,,AyeVote,,NoVote,NoVote,NoVote
5,E14000622,0.7269939242,Rebecca Harris MP,Castle Point,2735,1262,2017 General Election,69470,18872,Con Hold,44710,Rebecca Harris,90.0,NoVote,Rebecca Harris,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
6,E14000973,0.721235856,Ruth Smeeth MP,Stoke-on-Trent North,2208,894,2017 General Election,71558,2359,Lab Hold,41786,Ruth Smeeth,88.0,NoVote,Ruth Smeeth,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
7,E14000669,0.716506861,Rt Hon Edward Miliband MP,Doncaster North,2280,1121,2017 General Election,72377,14024,Lab Hold,42312,Edward Miliband,75.0,AyeVote,Edward Miliband,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
8,E14000717,0.7150494733,Rt Hon Brandon Lewis MP,Great Yarmouth,2826,1307,2017 General Election,71408,7973,Con Hold,44146,Brandon Lewis,72.0,,Brandon Lewis,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
9,E14000716,0.7144662955490191,Melanie Onn MP,Great Grimsby,2002,981,2017 General Election,61743,2565,Lab Hold,35521,Melanie Onn,88.0,NoVote,Melanie Onn,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,NoVote,,NoVote,NoVote,NoVote
10,E14000671,0.7143022555694503,Ian Austin MP,Dudley North,1809,701,2017 General Election,62043,22,Lab Hold,38910,Ian Austin,87.0,NoVote,Ian Austin,,AyeVote,NoVote,NoVote,AyeVote,,AyeVote,AyeVote,,NoVote,NoVote,AyeVote,AyeVote,AyeVote
11,E14000974,0.711074062,Jack Brereton MP,Stoke-on-Trent South,2162,903,2017 General Election,66057,663,Con Gain,41690,Jack Brereton,90.0,NoVote,Jack Brereton,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
12,E14000939,0.710714432,Sir John Hayes MP,South Holland and The Deepings,3414,1310,2017 General Election,76374,24897,Con Hold,50315,Sir John Hayes,90.0,,Sir John Hayes,,,,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
13,E14000542,0.709849935,Stephanie Peacock MP,Barnsley East,2087,1031,2017 General Election,69214,13283,Lab Hold,40776,Stephanie Peacock,92.0,NoVote,Stephanie Peacock,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,NoVote,NoVote,NoVote,NoVote,NoVote
14,E14000810,0.7086291353,Ben Bradley MP,Mansfield,3020,1273,2017 General Election,77811,1057,Con Gain,50157,Ben Bradley,88.0,NoVote,Ben Bradley,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
15,E14000810,0.7086291353,Ben Bradley MP,Mansfield,3020,1273,2017 General Election,77811,1057,Con Gain,50157,Karen Bradley,74.0,,Karen Bradley,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
16,E14000535,0.704728888,Gloria De Piero MP,Ashfield,2875,1185,2017 General Election,78076,441,Lab Hold,49993,Gloria De Piero,91.0,,Gloria De Piero,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
